nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,NCIT
NCI-2013-00875,NCT01901094,A Randomized Phase III Trial Comparing Axillary Lymph Node Dissection to Axillary Radiation in Breast Cancer Patients (cT1-3 N1) Who Have Positive Sentinel Lymph Node Disease after Neoadjuvant Chemotherapy,Inclusion,"Patients must have completed all chemotherapy prior to surgery; sandwich chemotherapy is not allowed (i.e. chemotherapy planned to be given after surgery); patients must have completed at least 4 cycles of neoadjuvant chemotherapy consisting of an anthracycline and/or taxane-based regimen without evidence of disease progression in the breast or the lymph nodes
* Note: Delays/dose modifications due to toxicities/adverse events are allowed as long as a minimum of 4 cycles of neoadjuvant chemotherapy is administered; more than 4 cycles of neoadjuvant chemotherapy (NAC) may be administered at the discretion of the treating medical oncologist
No prior ipsilateral axillary surgery, such as excisional biopsy of lymph node(s) or treatment of hidradenitis
No SLN surgery/excisional biopsy for pathological confirmation of axillary status prior to or during neoadjuvant chemotherapy
No more than 8 weeks of neoadjuvant endocrine therapy prior to the start of neoadjuvant chemotherapy",(C16171 = YES AND (C149 = YES OR C15451 = YES)) AND (C16175 = NO OR C16175 = YES)
NCI-2013-00877,NCT01851369,A Phase I/II Trial of TRC102 (Methoxyamine HCl) in Combination with Temozolomide in Patients with Relapsed Solid Tumors and Lymphomas,Inclusion,"Patients must have completed any chemotherapy, radiation therapy, or biologic therapy >= 4 weeks (or 5 half-lives, whichever is shorter) prior to entering the study (6 weeks for nitrosoureas or mitomycin C); patients must be >= 2 weeks since any prior administration of a study drug in a phase 0 or equivalent study and >= 1 week from palliative radiation therapy; patients must have recovered to eligibility levels from prior toxicity or adverse events; treatment with bisphosphonates is permitted",C16171 = YES OR C15477= YES OR (C16124=YES AND C15187 = YES)
NCI-2013-00890,NCT01935934,A Phase 2 Study of XL184 (Cabozantinib) in Recurrent or Metastatic Endometrial Cancer,Exclusion/INCLUSION,"EXCLUSION
Other clinically significant disorders such as:
* Active uncontrolled infection requiring intravenous systemic treatment within 14 days before the first dose of study treatment
* Serious non-healing wound/ulcer/bone fracture within 28 days before the first dose of study treatment
* History of organ transplant
* Concurrent uncompensated hypothyroidism or thyroid dysfunction within 7 days before the first dose of study treatment
* History of major surgery as follows:
** Major surgery within 3 months of the first dose of cabozantinib if there were no wound healing complications or within 6 months of the first dose of cabozantinib if there were wound complications
** Minor surgery within 1 month of the first dose of cabozantinib if there were no wound healing complications or within 3 months of the first dose of cabozantinib if there were wound complications
*** In addition, complete wound healing from prior surgery must be confirmed at least 28 days before the first dose of cabozantinib irrespective of the time from surgery
Prior treatment with cabozantinib
The subject has received prior treatment with a small molecule kinase inhibitor or a hormonal therapy (including investigational kinase inhibitors or hormones) within 14 days or five half-lives of the compound or active metabolites, whichever is longer, before the first dose of study treatment
The subject has not recovered to baseline or Common Terminology Criteria for Adverse Events (CTCAE) =< grade 1 from related toxicity to all prior therapies except alopecia and other non-clinically significant adverse events (AEs)
Inclusion
Prior therapy: Eligible subjects must have had 1 line of systemic cytotoxic treatment; this may be adjuvant therapy with documented progression within 12 months of completion, or 1 line of cytotoxic therapy for metastatic disease; NOTE: eligible patients are allowed up to 2 lines of systemic cytotoxic treatment, of whiMFPch only 1 line is allowed for metastatic disease; the acceptance of progression within 12 months of adjuvant is part inclusion to not require patient to re-challenge with chemotherapy (chemo) if they progressed soon after adjuvant therapy; prior hormonal therapy for metastatic/recurrent disease is also allowed; prior targeted therapy not directed against cMET or vascular endothelial growth factor (VEGF) pathways is allowed
",(C16169 = NO OR C16169 = YES) AND (C16171= YES) AND (C16175 = NO OR C16175 = YES) AND (C16124 = YES AND (C143099= NO AND C93259= NO AND C52200 = NO)
NCI-2013-00998,NCT01881867,A Phase 2 Study of Recombinant Glycosylated Human Interleukin-7 (CYT107) after Completion of Standard FDA Approved Therapy with Sipuleucel-T (ProvengeÂ®) for Patients with Asymptomatic or Minimally Symptomatic Metastatic Castration-Resistant Prostate Cancer (mCRPC),Inclusion/EXCLUSION,"INCLUSION
Prior orchiectomy or must be on ongoing luteinizing hormone-releasing hormone (LHRH) agonist or antagonist (e.g., degarelix) therapy
Patients receiving any other hormonal therapy, including any dose of megestrol acetate (Megace), Proscar (finasteride), any herbal product known to decrease prostate specific antigen (PSA) levels (e.g. saw palmetto, PC-SPES), or any systemic corticosteroid, must discontinue the agent for at least 30 days prior to study treatment
Prior local radiation therapy must be completed at least 30 days prior to enrollment and the patient must have recovered from all toxicity
Prior â€œsystemicâ€ radiopharmaceuticals (strontium, samarium, radium 223 dichloride) must be completed >= 8 weeks prior to enrollment
EXCLUSION:
Prior chemotherapy for castration resistant prostate cancer; neoadjuvant chemotherapy and chemotherapy given for hormone sensitive prostate cancer are allowed
Prior investigational immunotherapy
Current treatment with systemic steroid therapy (inhaled/topical steroids are acceptable); systemic corticosteroids must be discontinued for at least 30 days prior to first CYT107 injection
Patients who have received prior immunosuppressive therapy within 30 days prior to enrollment
Patients who have received hepatotoxic drugs less than 7 days prior to enrollment
Patients who have received prior biologic agents less than 30 days prior to enrollment",((C16124 = YES AND C15288 = YES) OR C15445 = YES) AND (C16175 = NO OR C16175= YES) AND (C15477= NO OR C15477= YES) AND (C16171 = NO OR C16171 = YES) AND (C16168 = NO OR C16168 = YES AND (C16124 = YES AND C49135 = NO))) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES))
NCI-2013-01132,NCT01534598,Phase I Trial of Oral 5-Fluoro-2'-Deoxycytidine with Oral Tetrahydrouridine in Patients with Advanced Solid Tumors,Inclusion,"Patients must have completed any chemotherapy, radiation therapy, biologic therapy, or major surgery >= 4 weeks prior to enrollment (6 weeks for nitrosoureas or mitomycin C); patients must be >= 2 weeks since any prior administration of a study drug in a phase 0 or equivalent study, at the discretion of the principal investigator; patients must have recovered to eligibility levels from prior toxicity or adverse events; patients with bone metastases or hypercalcemia on intravenous (IV) bisphosphonate treatment prior to study entry may continue this treatment",(C16171 = NO OR C16171 = YES) AND (C15477= NO OR C15477= YES) AND (C16169 = NO OR  C16169 = YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES))
NCI-2013-01272,NCT01897012,A Phase 1 Trial of MLN8237 plus Romidepsin for Relapsed/Refractory Aggressive B-Cell and T-Cell Lymphomas,Exclusion,"Patients who have had chemotherapy, radiation therapy, or other investigational agents within 3 weeks prior to entering study, 6 weeks for nitrosoureas or mitomycin",C16171 = YES OR C15477= YES OR (C16124 = YES AND C49135 = YES)
NCI-2013-01275,NCT01896999,"A Phase I Study with an Expansion Cohort/Randomized Phase II Study of the Combinations of Ipilimumab, Nivolumab, and Brentuximab Vedotin in Patients with Relapsed/Refractory Hodgkin Lymphoma",Inclusion,"PHASE I: Patients may have received prior brentuximab vedotin, but must not have received brentuximab vedotin within 6 months prior to registration, and must not have relapsed within 6 months of receiving previous brentuximab vedotin; patients may not have received prior nivolumab or programmed cell death protein 1 (PD1)/programmed cell death ligand 1 (PDL1) axis agents; patients in the nivolumab/brentuximab cohorts ONLY (D, E, F, Y) may have received prior ipilimumab
PHASE I: Patients may have received other prior activating immunotherapies (i.e. checkpoint inhibitors), but must not have received them within 6 months prior to registration, and there must be no serious unresolved complication of therapy at the time of registration; for the purposes of this study monoclonal antibodies and antibody drug conjugates are not considered to be activating immunotherapies and there are no additional time restrictions on prior exposure to these agents (except prior brentuximab vedotin)
PHASE II: Patients must have relapsed after first line chemotherapy; may have relapsed after autologous or allogeneic stem cell transplant, or have primary refractory disease; no upper limit for number of prior therapies; if status post allogeneic stem cell transplant, no active graft versus host disease and not on immunosuppressive therapy
PHASE II: Patients may have received prior brentuximab vedotin, but must not have received brentuximab vedotin within 6 months prior to registration, and must not have relapsed within 6 months of receiving previous brentuximab vedotin; patients may not have received prior nivolumab or PD1/PDL1 axis agents; patients may not have received prior ipilimumab
PHASE II: Patients may have received other prior activating immunotherapies, but must not have received them within 6 months prior to registration, and there must be no serious unresolved complication of therapy at the time of registration; for the purposes of this study monoclonal antibodies and antibody drug conjugates are not considered to be activating immunotherapies and there are no additional time restrictions on prior exposure to these agents (except prior brentuximab vedotin)
PHASE I: All prior therapy must have been completed at least 21 days prior to enrollment; no concomitant anti lymphoma therapy, including systemic corticosteroids for the purpose of treatment of lymphoma are allowed; topical steroids are allowed
PHASE I: No evidence of prior malignancy except adequately treated non-melanoma skin cancer, in situ cervical carcinoma or any surgically- or radiation-cured malignancy continuously disease free for >= 5 years so as not to interfere with interpretation of radiographic response
PHASE II: No evidence of prior malignancy except adequately treated non-melanoma skin cancer, in situ cervical carcinoma or any surgically- or radiation-cured malignancy continuously disease free for >= 5 years so as not to interfere with interpretation of radiographic response
PHASE II: All prior therapy must have been completed at least 21 days prior to enrollment; no concomitant anti lymphoma therapy, including systemic corticosteroids for the purpose of treatment of lymphoma are allowed; topical steroids are allowed
PHASE II: Patients must not have autoimmune disorders or conditions of immunosuppression that require current ongoing treatment with systemic corticosteroids (or other systemic immunosuppressants), including oral steroids (i.e., prednisone, dexamethasone) or continuous use of topical steroid creams or ointments or ophthalmologic steroids; a history of occasional (but not continuous) use of steroid inhalers is allowed; replacement doses of steroids for patients with adrenal insufficiency are allowed; patients who discontinue use of these classes of medication for at least 2 weeks prior to randomization are eligible if, in the judgment of the treating physician investigator, the patient is not likely to require resumption of treatment with these classes of drugs during the study",(C16168 = NO OR (C16168 = YES AND (C16124 = YES AND (C68814 = NO AND C124946 = NO AND PD-L1 INHIBITOR = NO)))) OR C16171 = YES OR C16169 = YES OR C15477= YES
NCI-2013-01320,NCT01902173,Phase I/II Study of the Safety and Efficacy of the AKT Inhibitor GSK2141795 in Combination with Dabrafenib and Trametinib in Patients with BRAF Mutant Cancer,Inclusion,"Patients may have received prior radiation therapy; all adverse events associated with prior radiation therapy must have resolved to =< grade 1 prior to registration
Patients may have received prior surgery (for both the primary and stage IV disease); all adverse events associated with prior surgery must have resolved to =< grade 1 prior to registration
Patients progressing on a prior BRAF inhibitor-based therapy will be eligible, as are patients nave to BRAF inhibitor therapy; resistance to BRAF inhibitor-based therapy will be defined as progressive disease by RECIST 1.1 criteria while receiving therapy with a BRAF inhibitor (vemurafenib or dabrafenib, alone or in combination with a mitogen-activated protein kinase [MEK] inhibitor); this may be innate resistance (patients who never achieved a tumor response while on BRAF inhibitor therapy) or acquired resistance (progression after having a tumor response to BRAF inhibitor therapy); there will not be a period of break between progression on the prior BRAF inhibitor-based therapy and the start of dabrafenib, trametinib and GSK2141795
Patients may have received prior systemic therapy (chemotherapy, immunotherapy, biologic therapy, or combination regimens); all adverse events associated with prior treatment must have resolved to =< grade 1 prior to registration
Patients must have received prior BRAF inhibitor therapy (e.g. dabrafenib, vemurafenib) within 56 days prior to registration; prior trametinib therapy is permitted; patients are not required to interrupt BRAF or MEK inhibitor therapy prior to the initiation of three agent combination therapy on study",(C15477= NO OR C15477= YES) AND (C16169 = NO OR C16169 = YES) AND (C16171 = NO OR C16171 = YES) AND (C16168 = NO OR C16168 = YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES))
NCI-2013-01340,NCT01953588,ALTernate Approaches for Clinical Stage II or III Estrogen Receptor Positive Breast Cancer NeoAdjuvant TrEatment (ALTERNATE) in Postmenopausal Women: A Phase III Study,Exclusion,"Treatment for this cancer including surgery, radiation therapy, chemotherapy, biotherapy, hormonal therapy or investigational agent prior to study entry
Surgical axillary staging procedure prior to study entry; Note: fine needle aspiration (FNA) or core needle biopsy of axillary node is permitted
Hormone replacement therapy of any type, megestrol acetate, or raloxifene within one week prior to registration",(C16169 = NO OR (C16169 = YES AND C4872 = NO)) AND (C15477= NO OR (C15477= YES AND C4872 = NO)) AND (C16175 = NO OR (C16175 = YES AND C4872 = NO)) AND (C16124 = YES AND (C49135 = NO OR C49135 = YES)) OR (C16124 = YES AND C15599 = YES)
NCI-2013-01357,NCT01912625,A Phase 1 Study of Trametinib in Combination with Chemoradiation for KRAS Mutant Non-small Cell Lung Cancer,Inclusion/EXCLUSION,"Prior thoracic radiation allowed only if there is minimal to no overlap with the treatment area estimated at the time of consultation, and there is no cumulative esophageal dose that exceeds more than 50% of the maximal acceptable dose tolerance
EXCLUSION
Any major surgery, extensive radiotherapy, chemotherapy with delayed toxicity, biologic therapy, or immunotherapy within 21 days prior to enrollment
Current use of a prohibited medication; the following medications or non-drug therapies are prohibited:
* Other anti-cancer therapy while on study treatment; (note: megestrol [Megace] if used as an appetite stimulant is allowed)
* Concurrent treatment with bisphosphonates is permitted; however, treatment must be initiated prior to the first dose of study therapy; prophylactic use of bisphosphonates in patients without bone disease is not permitted, except for the treatment of osteoporosis
* Concurrent use of all herbal supplements is prohibited during the study (including, but not limited to, St. Johnâ€™s wort, kava, ephedra [ma huang], gingko biloba, dehydroepiandrosterone [DHEA], yohimbe, saw palmetto, or ginseng)","(C15477= NO OR (C15477= YES AND C25389 = NO)) AND (C16169 = NO OR C16169 = YES) AND (C16171 = NO OR C16171 = YES)
"
NCI-2013-01368,NCT01925131,"A Phase I Study of Inotuzumab Ozogamicin (NSC-772518) in Combination with CVP (Cyclophosphamide, Vincristine, Prednisone) for Patients with Relapsed/Refractory CD22-Positive Acute Leukemia (including B-ALL, Mixed Phenotypic Leukemia and Burkitt's Leukemia)",Inclusion,"Patients must not have received prior treatment with inotuzumab ozogamicin; previous treatment with other anti-CD22 antibodies must have been completed at least 90 days prior to registration
Prior malignancy other than acute leukemia is allowed, provided it is in remission and there is no plan to treat the malignancy at the time of registration
Patients must be refractory or have relapsed following prior induction therapy; a standard induction regimen is defined as any program of treatment that includes vincristine and prednisone or dexamethasone, cytarabine/anthracycline, or high dose cytarabine
Patients may have received prior allogeneic transplant or autologous transplant; however, patients with prior allogeneic bone marrow transplant will be eligible only if both of the following conditions are met:
* The transplant must have been performed >= 90 days prior to registration
* The patient must not have >= grade 2 acute graft versus host disease (GvHD) or either moderate or severe limited chronic GvHD within 14 days prior to registration
Patients must not have received any chemotherapy, investigational agents, or undergone major surgery within 14 days prior to registration with the following exceptions:
* Monoclonal antibodies must not have been received for 1 week prior to registration
* Chimeric antigen receptor (CAR) T-cells must not have been received for 28 days prior to registration
* Steroids, hydroxyurea, vincristine, 6-mercaptopurine, methotrexate, thioguanine and intrathecal chemotherapy are permitted within any time frame prior to registration; Food and Drug Administration (FDA)-approved tyrosine kinase inhibitors may also be administered until 1 day prior to start of study therapy (cycle 1 [C1], day 1 [D1])
* All drug-related toxicities must have resolved to =< grade 2",C16124 = YES AND (C71542 = NO AND C15746 = YES) AND (C16171 = YES OR (C16124 = YES AND C49135 = YES) OR C16169 = YES OR C60701 = YES)
NCI-2013-01452,NCT00942877,Phase II Study of Cediranib (AZD2171) in Patients with Alveolar Soft Part Sarcoma,Inclusion,"Any prior therapy must have been completed >= 4 weeks prior to enrollment on protocol and the participant must have recovered to eligibility levels from prior toxicity; patients should be at least 6 weeks out from nitrosoureas and mitomycin C; prior radiation should have been completed >= 4 weeks prior to study enrollment and all associated toxicities resolved to eligibility levels; patients must be >= 2 weeks since any investigational agent administered as part of a phase 0 study (also referred to as an â€œearly phase I studyâ€ or â€œpre-phase I studyâ€ where a sub-therapeutic dose of drug is administered) at the principal investigator's (PIâ€™s) discretion, and should have recovered to eligibility levels from any toxicities
Any degree of prior treatment is allowed, including other anti-angiogenic treatments (e.g., vascular endothelial growth factor receptor 2 [VEGFR2] inhibitors or bevacizumab); patients with no prior therapy are eligible, provided they have metastatic disease that is not curable by surgery
Prior therapy with anti-angiogenic agents is permitted",C16124 = YES OR C16124 = NO 
NCI-2013-01474,NCT01273155,Phase I Pharmacokinetic Study of Belinostat for Solid Tumors and Lymphomas in Patients with Varying Degrees of Hepatic Dysfunction,Exclusion/INCLUSION,"EXCLUSION
Prior therapy with belinostat
Patients with significant cardiovascular disease (New York Heart Association class III or IV cardiac disease), symptomatic congestive heart failure, myocardial infarction within the past 6 months, unstable angina, unstable arrhythmia or a need for anti-arrhythmic therapy (use of frequency adjusting medication for atrial fibrillation is allowed, if stable medication for at least last month prior to initiation of belinostat treatment and medication not listed as causing Torsades de Pointes), or evidence of acute ischemia on electrocardiogram (ECG); marked baseline prolongation of QT/corrected QT (QTc) interval, e.g., repeated demonstration of a QTc interval > 450 msec; long QT syndrome; concomitant use of drugs known to prolong the QT interval and/or cause Torsades de Pointes is not allowed during the study or within 2 weeks of study entry; these drugs should also be avoided for up to 4 weeks following discontinuation of study treatment; drugs that may be associated with Torsades de Pointes but lack substantial evidence will be allowed at the discretion of the PI (although it is preferable to substitute an alternate medication), and patients will be closely monitored
INCLUSION
No radiation, major surgery, chemotherapy or biologic therapy within 4 weeks prior to entering the study (6 weeks for nitrosoureas or mitomycin C); >= 2 weeks since any prior administration of study drug in an exploratory investigational new drug (IND)/phase 0 study (also referred to as an â€œearly phase I studyâ€ or â€œpre-phase I studyâ€ where a subtherapeutic dose of drug is administered) at the principal investigator (PI)â€™s discretion; patients must have recovered to at least eligibility levels due to adverse events and/or toxicity of prior chemotherapy or biologic therapy",(C16124 = YES AND C48812 = NO) AND (C15477= NO OR C15477= YES) AND (C16169 = NO OR C16169 = YES) AND (C16171 = NO OR C16171 = YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES)) AND (C16124 = YES AND (C49135 = NO OR C49135 = YES))
NCI-2013-01475,NCT01273168,"Phase I Trial of Z-Endoxifen in Adults with Refractory Hormone Receptor-Positive Breast Cancer, Desmoid Tumors, Gynecologic Tumors, or Other Hormone Receptor-Positive Solid Tumors",Exclusion/INCLUSION,"EXCLUSION
Patients with a history of deep vein thrombosis must be on anti-coagulation therapy prior to enrollment; patients requiring prophylactic anti-coagulation are eligible
INCLUSION
Patients with breast cancer must have had at least one prior chemotherapy regimen for metastatic disease; additionally, patients with breast cancer must have received prior tamoxifen and/or aromatase inhibitor therapy (if post-menopausal) with at least one hormonal regimen in the metastatic setting; patients with human epidermal growth factor receptor 2 (HER2)+ breast cancer must have progressed after at least one prior HER2-directed regimen (trastuzumab, lapatinib) for metastatic disease
* All other patients must have disease that has progressed following at least one line of standard therapy; prior therapy with tamoxifen is allowed
Patients must have recovered to at least eligibility levels following any display of adverse events and/or toxicity due to prior chemotherapy or biologic therapy; they must not have had hormonal therapy, chemotherapy or biologic therapy within 4 weeks prior to entering the study (6 weeks for nitrosoureas or mitomycin C, or 7-hydroxystaurosporin [UCN-01]); patients must be >= 2 weeks since any prior administration of study drug in a phase 0 study (also referred to as an â€œearly phase I studyâ€ or â€œpre-phase I studyâ€ where a sub-therapeutic dose of drug is administered) at the principal investigator's (PIâ€™s) discretion; patients must be >= 4 weeks since any prior radiation or major surgery; however, patients receiving bisphosphonates or therapeutic anticoagulation are eligible for this trial",(C16171 = NO OR C16171 = YES) AND (C15477= NO OR C15477= YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES)) AND (C16175 = NO OR C16175 = YES) AND (C16169 = NO OR C16169 = YES)
NCI-2013-01491,NCT01362803,A Phase I/II Study of the Mitogen Activated Protein Kinase Kinase (MEK) 1 Inhibitor Selumetinib (AZD6244; HYD Sulfate) in Children with Neurofibromatosis Type 1 (NF1) and Inoperable Plexiform Neurofibromas (PN),Exclusion/INCLUSION,"EXCLUSION
Prior treatment with selumetinib or another specific mitogen-activated protein kinase (MEK)1/2 inhibitor (unless the subject meets criteria for re-treatment)
Recent major surgery within a minimum of 4 weeks prior to starting study treatment, with the exception of surgical placement for vascular access
INCLUSION
Patients with NF1 will only be eligible if complete tumor resection is not considered to be feasible without substantial risk or morbidity
* Patients may be treated on this trial without having received prior medical therapy directed at their PN
* There will be no limit to number of prior myelosuppressive regimen for PN or other tumor manifestations associated with NF1 such as optic glioma
* Patients who have received previous investigational agents or biologic therapy, such as tipifarnib, pirfenidone, peginterferon alfa-2b (Peg-Intron), sorafenib, imatinib, or other targeted therapies are eligible for enrollment; at least 4 weeks must have elapsed since receiving medical therapy directed at the PN; patients who received prior medical therapy for their PN must have recovered from the acute toxic effects of all prior therapy to =< grade 1 Common Terminology Criteria for Adverse Events (CTCAE) version (v)4 before entering this study
* Growth factors that support platelet or white cell number or function must not have been administered within the 7 days prior to enrollment
* At least 6 weeks must have elapsed prior to enrollment since the patient received any prior radiation therapy
* At least 4 weeks must have elapsed since any surgeries, with evidence of good wound healing",(C16171 = NO OR C16171 = YES) AND (C16124 = YES AND (C49135 = NO OR C49135 = YES)) AND (C15477= NO OR C15477= YES) AND (C16169 = NO OR C16169 = YES)
NCI-2013-01496,NCT01391962,"A Phase II Trial in Which Patients with Metastatic Alveolar Soft Part Sarcoma Are Randomized to Either Sunitinib or Cediranib Monotherapy, with Cross-Over at Disease Progression",Inclusion/EXCLUSION,"INCLUSION
Any prior therapy must have been completed >= 4 weeks prior to enrollment on protocol and the participant must have recovered to eligibility levels from prior toxicity; patients should be at least 6 weeks out from nitrosoureas and mitomycin C; prior radiation should have been completed >= 4 weeks prior to study enrollment and all associated toxicities resolved to eligibility levels; patients who have had prior monoclonal antibody therapy must have completed that therapy at least 3 half-lives of the antibody or 6 weeks ago; patients who have received more than a cumulative dose of 350 mg/m^2 of doxorubicin may be enrolled at the discretion of the coordinating center principal investigator (PI) after consultation with a cardiologist and if screening echocardiogram is normal
Patients with no prior therapy are eligible, provided they have metastatic disease that is not curable by surgery
The following groups of patients are eligible after consultation with a cardiologist and at the coordinating center PIâ€™s discretion, provided they have New York Heart Association class II (NYHA) cardiac function on baseline echocardiogram (ECHO)/multigated acquisition scan (MUGA):
* Those with a history of class II heart failure who are asymptomatic on treatment
* Those with prior anthracycline exposure greater than a cumulative dose of 350 mg/m^2
* Those who have received central thoracic radiation that included the heart in the radiotherapy port
EXCLUSION
Patients must not have received prior treatment with any vascular endothelial growth factor (VEGF) receptor tyrosine kinase inhibitor (e.g., cediranib, sunitinib, pazopanib, sorafenib); however, prior treatment with bevacizumab is allowed",(C16171 = NO OR C16171 = YES) AND (C15477= NO OR C15477=YES) AND (C16124 = YES AND (C49135 = NO OR C49135 = YES)) AND (C16169 = NO OR C16169 = YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES))
NCI-2013-01520,NCT01572493,A Phase I Study of a Continuous Intravenous Infusion of Recombinant Human IL-15 (rhIL-15) in Adults with Metastatic Cancers,Inclusion/EXCLUSION,"INCLUSION
Patients must have recovered to =< grade 1 Common Terminology Criteria for Adverse Events (CTCAE) version (v) 4 from toxicity of prior chemotherapy or biologic therapy and must not have had prior chemotherapy or biologic therapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C, 8 weeks for 7-hydroxystaurosporine [UCN-01])
EXCLUSION
Patients who have received any systemic corticosteroid therapy within 3 weeks prior to the start of therapy with the exception of physiological replacement doses of cortisone acetate or equivalent
Patients who have received any cytotoxic therapy, immunotherapy, antitumor vaccines, monoclonal antibodies or major surgery in the 4 weeks prior to the start of the study
History of autoimmune disease, with the exception of an autoimmune event associated with prior ipilimumab (anti-cytotoxic T-lymphocyte antigen 4 [CTLA-4]) therapy that has been completely resolved for more than 4 weeks",C16171 = NO OR C16171 = YES) AND (C16124 = YES AND (C15187 = NO OR C15187 = YES)) AND (C16168 = NO OR C16168 = YES)
NCI-2013-01568,NCT01748825,"A Phase I Study of Single-Agent AZD1775 (MK-1775), a Wee1 Inhibitor, in Patients with Advanced Refractory Solid Tumors",Inclusion,"Patients must have measurable disease or evaluable disease for the escalation phase; for the 6 additional patients enrolled at maximum tolerated dose (MTD) for further evaluation of pharmacokinetic (PK) and pharmacodynamic (PD) endpoints (Expansion Cohort A), for the 6-patient breast cancer gene (BRCA)-mutation expansion cohort, patients must have measurable disease; however, tumor biopsies are optional; for Expansion Cohort B, patients must have tumor amenable to biopsy (excisional or incision biopsies of skin or head and neck (H & N) lesions under visualization) and willingness to undergo a tumor biopsy or patient will be undergoing a procedure due to medical necessity during which the tissue may be collected, or tumor biopsy tissue from a previous research study or medical care is available for submission at registration; criteria for the submission of tissue are:
* Tissue must have been collected within 3 months prior to registration
* Patient has not received any intervening therapy for their cancer since the collection of the tumor sample
* Tumor tissue must meet the minimum requirements outlined
Patients must have completed any chemotherapy, radiation therapy, surgery, or biologic therapy >= 3 weeks (or >= 5 half-lives, whichever is shorter) prior to entering the study; patients must be >= 2 weeks since any prior administration of a study drug in an exploratory investigational new drug (IND)/phase 0 study or >= 1 week from palliative radiation therapy; patients must have recovered to eligibility levels from prior toxicity or adverse events",C16171 = YES OR C15477= YES OR C16169 = YES OR (C16124 = YES AND C15187 = YES)  OR (C16124 = YES AND C49135 = YES)
NCI-2013-01588,NCT01827384,Molecular Profiling-Based Assignment of Cancer Therapy for Patients with Advanced Solid Tumors,Inclusion,"TREATMENT: Any prior therapy, radiotherapy, or major surgery must have been completed >= 3 weeks (> 6 weeks for nitrosoureas or mitomycin C) prior to enrollment on protocol, and the participant must have recovered to eligibility levels from prior toxicity; radiofrequency ablation (RFA) of localized lesions should have been performed >= 2 weeks prior to treatment
TREATMENT: Patients who have had prior treatment with any of the other investigational agents or combinations on this protocol are eligible but will not receive the same investigational agent (everolimus or trametinib) or combination (AZD1775/combination or veliparib/temozolomide); instead, patients will receive an investigational agent or combination prospectively identified to work on a different target in their tumorâ€™s mutation/aberrant pathway
TREATMENT: Patients who have received prior carboplatin or AZD1775 (MK-1775) (WEE1 inhibitor MK-1775) would not be excluded unless the two drugs were administered in combination; patients who have received prior carboplatin in combination with AZD1775 (MK-1775) would still be eligible to receive other study treatment regimens based on identified genetic mutation(s), other than carboplatin plus AZD1775 (MK-1775)
TREATMENT: Patients who have had prior treatment with any PARP inhibitor in combination with temozolomide are ineligible to receive treatment with veliparib on this study; patients who have received prior temozolomide or PARP inhibitor with or without other chemotherapy/targeted agent aside from temozolomide should not be excluded solely because of receiving prior PARP inhibitor or temozolomide, unless it was in combination; patients who have received temozolomide with a PARP inhibitor in the past are eligible to participate but will not receive veliparib with temozolomide on study; such patients are eligible to receive other treatment regimens on study based on identified genetic mutations
TREATMENT: Patients who have received prior everolimus or other mechanistic target of rapamycin (mTOR) inhibitors or those with known intolerance or hypersensitivity to other rapamycin analogs (e.g., sirolimus, temsirolimus) would not be eligible to receive everolimus on study; if these patients have mutations of interest in pathways other than the phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha (pI3K) pathway, they will be eligible to receive agents based on that mutation
TREATMENT: Patients who have received prior mitogen-activated protein kinase kinase (MEK) inhibitors would not be eligible to receive trametinib DMSO on study; if these patients have mutations of interest in pathways other than the rat sarcoma (RAS) pathway, they will be eligible to receive agents based on that mutation",(C15477= NO OR C15477= YES) AND (C16169 = NO OR C16169 = YES) AND (C16171 = NO OR C16171 = YES) AND (C16124 = YES AND (C49135 = NO OR C49135 = YES))
NCI-2013-01602,NCT01922076,"A Phase 1 Study of AZD1775 (MK-1775, IND# 116495) Concurrent with Local Radiation Therapy for the Treatment of Newly Diagnosed Children with Diffuse Intrinsic Pontine Gliomas",Inclusion/EXCLUSION,"INCLUSION
Patients must not have received any prior chemotherapy, radiation therapy, immunotherapy or bone marrow transplant for the treatment of DIPG; prior dexamethasone and/or surgery are allowed
EXCLUSION
Patients must not receive metformin for at least 5 days prior to enrollment and for the duration of study treatment
Patients who have received a prior solid organ transplantation are not eligible",(C16171 = NO OR (C16171 = YES AND C94764 = NO)) AND (C15477= NO OR (C15477= YES AND C94764 = NO)) AND (C16168 = NO OR (C16168 = YES AND C94764 = NO)) AND (C16124 = YES AND (C15194 = NO OR (C15194 = YES AND C94764 = NO))) AND (C16169 = NO OR C16169 =YES) AND C130200 = NO
